food_id,name,name_nepali,category,calories,protein,carbohydrates,fat,fiber,sugar,sodium,serving_size_g,is_vegetarian,is_vegan,is_gluten_free,contains_nuts,contains_dairy,contains_gluten,contains_egg,is_nepali,data_source
1,Dal Bhat,दाल भात,nepali_staple,414.5,12.2,67.1,10.9,7.2,1.7,27.9,300.0,True,False,True,False,True,False,False,True,USDA_Recipe_Calc
2,Dhido,ढिडो,nepali_staple,105.0,2.5,21.0,0.5,2.5,0.0,5.0,250.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
3,Chiura,चिउरा,nepali_staple,340.0,6.5,77.0,1.0,2.0,0.0,5.0,100.0,True,True,True,False,False,False,False,True,NARC
4,Baji,बजी,nepali_staple,340.0,6.5,77.0,1.0,2.0,0.0,5.0,100.0,True,True,True,False,False,False,False,True,NARC
5,Puri,पुरी,nepali_bread,229.6,4.1,30.5,9.9,1.1,0.1,194.6,50.0,True,True,False,False,False,True,False,True,USDA_Recipe_Calc
6,Roti,रोटी,nepali_bread,187.1,5.1,37.4,1.5,1.3,0.1,1.0,50.0,True,False,False,False,True,True,False,True,USDA_Recipe_Calc
7,Plain Rice,भात,nepali_staple,130.0,2.7,28.0,0.3,0.4,0.0,1.0,200.0,True,True,True,False,False,False,False,True,USDA
8,Jeera Rice,जिरा भात,nepali_staple,294.7,5.6,55.6,5.0,1.0,0.2,5.4,200.0,True,False,True,False,True,False,False,True,USDA_Recipe_Calc
9,Pulao,पुलाउ,nepali_staple,407.2,9.1,67.6,11.1,3.1,2.0,11.4,250.0,True,False,True,True,True,False,False,True,USDA_Recipe_Calc
10,Masoor Dal Cooked,मसुरो दाल,nepali_staple,116.0,9.0,20.0,0.4,8.0,0.5,200.0,150.0,True,True,True,False,False,False,False,True,USDA
11,Mung Dal Cooked,मुंग दाल,nepali_staple,105.0,7.0,19.0,0.4,7.5,0.5,180.0,150.0,True,True,True,False,False,False,False,True,USDA
12,Chana Dal Cooked,चना दाल,nepali_staple,164.0,8.9,27.4,2.6,7.6,1.0,250.0,150.0,True,True,True,False,False,False,False,True,USDA
13,Rajma Cooked,राजमा,nepali_staple,127.0,8.7,22.8,0.5,6.4,0.3,200.0,150.0,True,True,True,False,False,False,False,True,USDA
14,Kwati,क्वाटी,nepali_staple,140.0,9.5,24.0,1.0,8.5,1.0,210.0,200.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
15,Samay Baji,समय बजी,nepali_staple,760.7,35.3,104.6,23.4,9.1,1.9,43.7,300.0,False,False,True,False,False,False,False,True,USDA_Recipe_Calc
16,Tornak,तोर्नाक,nepali_bread,340.2,7.1,51.9,11.2,1.8,0.2,52.8,80.0,True,False,False,False,True,True,False,True,USDA_Recipe_Calc
17,Naan,नान,nepali_bread,290.0,9.6,48.0,6.0,2.5,2.0,350.0,100.0,True,False,False,False,True,True,False,True,USDA
18,Buff Momo,बफ मम,nepali_snack,338.5,22.3,41.0,8.3,1.8,1.1,40.8,150.0,False,False,False,False,False,True,False,True,USDA_Recipe_Calc
19,Chicken Momo,चिकेन मम,nepali_snack,353.9,27.2,41.0,8.1,1.8,1.1,54.1,150.0,False,False,False,False,False,True,False,True,USDA_Recipe_Calc
20,Veg Momo,भेज मम,nepali_snack,265.9,6.6,45.1,6.7,3.4,3.1,16.7,150.0,True,True,False,False,False,True,False,True,USDA_Recipe_Calc
21,Fried Buff Momo,फ्राइड बफ मम,nepali_snack,402.9,20.9,39.2,17.1,1.7,1.0,38.0,150.0,False,False,False,False,False,True,False,True,USDA_Recipe_Calc
22,Chatamari,चतामरी,nepali_snack,297.2,6.6,45.5,9.3,1.0,0.8,1194.5,100.0,True,False,True,False,False,False,True,True,USDA_Recipe_Calc
23,Bara,बरा,nepali_snack,210.0,12.0,28.0,6.0,5.0,0.5,250.0,80.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
24,Sel Roti,सेल रोटी,nepali_snack,175.0,2.5,29.0,5.5,0.8,7.5,5.0,50.0,True,False,True,False,True,False,False,True,NARC
25,Yomari,योमरी,nepali_snack,234.0,4.0,46.7,3.3,1.2,12.0,6.9,60.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
26,Lakhamari,लाखामरी,nepali_snack,149.0,2.4,25.4,4.2,0.9,6.1,1.6,40.0,True,False,True,False,True,False,False,True,USDA_Recipe_Calc
27,Samosa,समोसा,nepali_snack,260.0,4.5,32.0,13.0,2.5,1.5,350.0,100.0,True,True,False,False,False,True,False,True,USDA
28,Pakoda,पकौडा,nepali_snack,235.5,4.6,16.9,17.3,4.5,3.7,780.2,100.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
29,Aloo Chop,आलु चप,nepali_snack,135.3,2.4,15.4,7.4,2.2,1.3,197.7,80.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
30,Phuraula,फुरौला,nepali_snack,183.7,4.3,10.2,14.5,3.2,0.2,391.6,60.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
31,Khajuri,खजुरी,nepali_snack,225.3,3.3,34.4,8.3,0.9,10.1,0.9,50.0,True,False,False,False,True,True,False,True,USDA_Recipe_Calc
32,Nimki,निम्की,nepali_snack,185.4,3.3,23.9,8.4,0.9,0.1,195.2,40.0,True,True,False,False,False,True,False,True,USDA_Recipe_Calc
33,Pani Puri,पानी पुरी,nepali_snack,276.5,7.1,41.5,9.3,4.3,2.2,780.5,120.0,True,True,False,False,False,True,False,True,USDA_Recipe_Calc
34,Chana Chatpate,चना चटपटे,nepali_snack,219.6,5.6,38.3,5.3,3.7,2.6,392.9,100.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
35,Aloo Tama,आलु तामा,nepali_curry,90.0,2.5,16.0,2.0,3.0,1.5,450.0,200.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
36,Gundruk ko Jhol,गुन्द्रुक को झोल,nepali_curry,40.0,3.0,5.0,1.0,3.5,0.5,350.0,150.0,True,True,True,False,False,False,False,True,NARC
37,Rayo ko Saag,रायो को साग,nepali_vegetable,45.0,3.5,6.0,1.5,4.0,1.0,200.0,100.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
38,Cauliflower Tarkari,काउलीको तरकारी,nepali_vegetable,91.9,3.1,9.1,5.9,3.3,2.9,429.7,150.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
39,Aloo Gobi,आलु गोभी,nepali_curry,85.0,2.5,12.0,3.5,3.5,2.5,300.0,150.0,True,True,True,False,False,False,False,True,USDA
40,Mixed Vegetable Tarkari,मिक्स तरकारी,nepali_vegetable,134.1,3.7,17.0,6.4,4.1,3.6,793.9,150.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
41,Mushroom Curry,च्याउको तरकारी,nepali_curry,80.6,4.0,6.3,5.4,1.6,3.3,394.9,150.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
42,Paneer Curry,पनिरको तरकारी,nepali_curry,256.1,11.2,8.7,20.6,1.8,4.3,1179.5,150.0,True,False,True,False,True,False,False,True,USDA_Recipe_Calc
43,Chana Masala,चना मसला,nepali_curry,130.0,6.0,18.0,4.0,5.0,2.0,420.0,150.0,True,True,True,False,False,False,False,True,USDA
44,Aloo Kerau,आलु केराउ,nepali_curry,169.3,4.4,24.1,6.7,4.4,3.7,785.5,150.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
45,Tama Aloo,तामा आलु,nepali_curry,152.3,4.6,21.6,6.5,4.3,4.3,396.9,200.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
46,Kerau Paneer,केराउ पनिर,nepali_curry,272.5,13.0,12.0,20.3,3.8,5.4,1183.2,150.0,True,False,True,False,True,False,False,True,USDA_Recipe_Calc
47,Mula ko Tarkari,मुलाको तरकारी,nepali_vegetable,63.8,0.8,4.2,5.2,1.8,1.9,614.3,100.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
48,Farsi ko Tarkari,फर्सीको तरकारी,nepali_vegetable,50.0,1.2,8.5,1.5,2.0,3.0,200.0,100.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
49,Karela ko Tarkari,करेलाको तरकारी,nepali_vegetable,67.3,1.1,5.1,5.2,2.8,0.6,586.3,100.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
50,Bhindi ko Tarkari,भिन्डीको तरकारी,nepali_vegetable,80.1,1.8,8.1,5.2,3.1,1.8,587.9,100.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
51,Lauka ko Tarkari,लौकाको तरकारी,nepali_vegetable,40.0,1.0,6.0,1.5,2.5,2.0,220.0,100.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
52,Iskus ko Tarkari,इस्कुसको तरकारी,nepali_vegetable,45.0,1.2,7.0,1.5,2.5,2.5,230.0,100.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
53,Sekuwa,सेकुवा,nepali_meat,271.8,35.8,3.0,12.2,0.3,0.2,502.6,150.0,False,False,True,False,False,False,False,True,USDA_Recipe_Calc
54,Choila,छोइला,nepali_meat,301.0,30.7,3.5,17.1,0.5,0.1,458.7,150.0,False,False,True,False,False,False,False,True,USDA_Recipe_Calc
55,Sukuti,सुकुटी,nepali_meat,155.0,22.5,0.0,6.0,0.0,0.0,300.0,50.0,False,False,True,False,False,False,False,True,FAO_Nepal_2012
56,Buff Curry,बफको तरकारी,nepali_meat,278.9,28.5,5.9,14.7,1.1,2.4,67.1,200.0,False,False,True,False,False,False,False,True,USDA_Recipe_Calc
57,Chicken Curry,कुखुराको तरकारी,nepali_meat,290.2,35.1,6.6,13.1,1.2,2.7,85.7,200.0,False,False,True,False,False,False,False,True,USDA_Recipe_Calc
58,Mutton Curry,खसीको तरकारी,nepali_meat,273.7,30.8,6.4,13.4,1.2,2.7,98.7,200.0,False,False,True,False,False,False,False,True,USDA_Recipe_Calc
59,Fish Curry,माछाको तरकारी,nepali_meat,270.2,25.7,5.2,15.9,1.0,2.0,68.8,200.0,False,False,True,False,False,False,False,True,USDA_Recipe_Calc
60,Egg Curry,अन्डाको तरकारी,nepali_meat,242.5,13.6,7.2,17.7,1.3,3.4,146.6,200.0,True,False,True,False,False,False,True,True,USDA_Recipe_Calc
61,Kukhura ko Jhol,कुखुराको झोल,nepali_meat,335.9,28.9,10.4,19.7,2.0,4.5,95.1,250.0,False,False,True,False,False,False,False,True,USDA_Recipe_Calc
62,Sungur ko Masu,सुँगुरको मासु,nepali_meat,341.5,34.4,5.6,19.6,1.0,2.1,73.6,200.0,False,False,True,False,False,False,False,True,USDA_Recipe_Calc
63,Bhutun,भुटुन,nepali_meat,269.9,20.4,0.8,20.3,0.1,0.2,452.4,100.0,False,False,True,False,False,False,False,True,USDA_Recipe_Calc
64,Kachila,कचिला,nepali_meat,204.7,21.1,2.5,11.5,0.6,0.0,436.3,100.0,False,False,True,False,False,False,False,True,USDA_Recipe_Calc
65,Juju Dhau,जुजु धौ,nepali_sweet,120.0,4.0,15.0,5.0,0.0,12.0,40.0,150.0,True,False,True,False,True,False,False,True,NARC
66,Kheer,खीर,nepali_sweet,218.8,5.6,31.7,7.8,0.4,14.0,50.9,150.0,True,False,True,True,True,False,False,True,USDA_Recipe_Calc
67,Sikarni,सिकार्नी,nepali_sweet,130.4,4.1,17.4,5.5,0.5,16.2,38.2,100.0,True,False,True,True,True,False,False,True,USDA_Recipe_Calc
68,Haluwa,हलुवा,nepali_sweet,497.5,7.1,59.6,26.2,2.1,22.2,1.7,100.0,True,False,False,True,True,True,False,True,USDA_Recipe_Calc
69,Rasbari,रसबरी,nepali_sweet,162.5,4.8,25.3,5.2,0.1,23.7,5.8,50.0,True,False,False,False,True,True,False,True,USDA_Recipe_Calc
