food_id,name,name_nepali,category,calories,protein,carbohydrates,fat,fiber,sugar,sodium,serving_size_g,is_vegetarian,is_vegan,is_gluten_free,contains_nuts,contains_dairy,contains_gluten,contains_egg,is_nepali,data_source
1,Chicken Momo,Chicken Momo,nepali_staple,719.9,57.0,80.5,16.4,0,0,0,310,False,False,True,False,False,False,False,True,Calculated_from_USDA
2,Dal Bhat,Dal Bhat,nepali_staple,649.4,16.9,86.3,26.2,0,0,0,425,True,True,True,False,False,False,False,True,Calculated_from_USDA
3,Apple Pie,Apple Pie,american_dish,357.6,4.1,54.0,13.6,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
4,Chocolate Cake,Chocolate Cake,american_dish,422.6,5.6,62.0,16.6,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
5,Tiramisu,Tiramisu,italian_dish,323.3,4.0,40.4,16.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
6,Crème Brûlée,Crème Brûlée,french_dish,306.1,4.3,33.1,17.5,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
7,Cheesecake,Cheesecake,american_dish,373.3,4.3,44.0,20.1,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
8,Baklava,Baklava,middle eastern_dish,301.9,3.2,43.8,13.6,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
9,Pavlova,Pavlova,australian_dish,193.6,2.8,30.9,7.0,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
10,Banoffee Pie,Banoffee Pie,british_dish,321.6,3.4,43.7,14.8,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
11,Raspberry Sorbet,Raspberry Sorbet,french_dish,186.7,1.4,34.0,5.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
12,Pumpkin Pie,Pumpkin Pie,american_dish,357.6,4.5,53.3,13.6,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
13,Lemon Tart,Lemon Tart,french_dish,383.2,5.6,58.2,13.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
14,Strawberry Shortcake,Strawberry Shortcake,american_dish,310.8,5.2,50.9,9.5,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
15,Mango Sticky Rice,Mango Sticky Rice,thai_dish,306.1,3.5,55.7,10.1,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
16,Black Forest Cake,Black Forest Cake,german_dish,375.7,5.8,57.3,13.4,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
17,Key Lime Pie,Key Lime Pie,american_dish,314.7,4.5,36.2,16.6,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
18,Profiteroles,Profiteroles,french_dish,332.8,5.8,53.2,10.7,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
19,Gelato,Gelato,italian_dish,226.7,2.6,32.7,9.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
20,Peach Cobbler,Peach Cobbler,southern_dish,357.2,4.8,56.0,12.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
21,Flan,Flan,latin american_dish,305.7,4.0,42.4,13.2,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
22,Mille-feuille,Mille-feuille,french_dish,301.1,4.0,41.3,13.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
23,Cannoli,Cannoli,italian_dish,246.0,4.3,31.6,11.6,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
24,Brownies,Brownies,american_dish,417.2,5.8,62.8,15.5,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
25,Churros,Churros,spanish_dish,391.2,5.2,59.6,14.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
26,Tres Leches Cake,Tres Leches Cake,latin american_dish,359.4,6.7,53.2,12.6,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
